sex,race,lsat,ugpa,zfygpa,bar_passed,tier
1,7,38.54040663,3.409271716,1.276814921,1,4
1,7,36.41181303,3.603104287,-1.489829793,1,3
2,7,28.11270763,3.302495203,0.4496735102,1,4
1,7,32.64656406,3.782845441,0.4802082941,1,3
2,7,35.45601191,3.067548654,0.3478197678,1,5
1,7,35.47448139,3.401121397,0.5690701092,1,5
1,7,38.21098194,3.401240566,-0.04652745289,1,3
2,7,28.6468153,3.402954801,0.775425707,1,3
1,7,38.37515221,3.498548677,0.7864780222,1,4
1,7,45.95436254,3.300881808,0.3489895485,1,5
1,7,44.69373754,3.075653394,-0.3271070815,0,4
2,7,35.54122441,3.068787584,-0.04838537358,1,5
2,7,41.69845008,3.302569688,-0.5926608288,1,6
1,7,27.41796023,3.401967134,0.7188448815,1,3
1,2,41.15952878,3.042494653,0.02185264212,1,4
2,7,35.84376174,3.764391431,0.009437391655,1,5
2,7,45.47796446,3.599821422,-0.01730445569,1,5
1,8,28.37351212,3.071034474,-0.3199906873,1,4
1,7,29.62308431,3.783349817,-0.251207105,1,3
2,7,29.34917722,3.497150114,0.3721989119,1,3
1,7,38.02865583,3.788374547,0.7241885236,1,5
2,7,32.89808184,3.301012271,-0.78910151,1,3
1,7,27.71922527,2.682401293,-0.007313215279,1,3
1,7,47.10412918,3.072099817,0.4179791418,1,3
1,7,44.69357022,2.514821457,-1.102302612,1,3
2,4,35.37657271,2.514000105,0.8686759812,1,3
1,7,38.48212254,3.389156047,0.7351891311,1,3
2,7,35.52319422,3.401007327,0.03429716176,1,4
1,7,47.18860252,3.784125934,-0.01730532607,1,3
1,7,38.22802542,3.781182539,-0.04629141234,1,3
2,7,40.75641014,2.911172133,-0.041678383,1,3
2,7,35.59847985,2.407383252,-0.7258062001,1,5
1,6,33.30430522,3.072120675,-0.4172390881,1,4
2,7,38.07582533,2.919815314,-0.9739290243,1,3
1,7,44.87882718,3.778390177,-1.149089767,1,3
2,7,24.61624075,2.669768295,-0.3874903195,0,3
2,7,27.88284439,3.401880601,2.109205642,1,5
2,7,34.82279271,3.299506039,-0.02880199437,1,3
1,7,37.2044107,3.601217005,0.8918199232,1,3
1,7,36.04641412,3.600343368,-0.03575636045,1,3
1,7,32.65146254,3.065791059,0.3521946393,1,5
1,7,38.34851026,3.783811038,0.1639368268,1,3
1,7,38.3885749,3.800530311,-0.04314502891,1,3
1,7,40.65293519,3.298349286,0.7160651452,1,3
2,7,37.28869544,3.499866444,-0.7274612074,1,3
1,6,44.54884219,3.065312871,0.7134802424,1,5
2,7,29.77726857,3.782062931,-0.003131538309,1,5
1,7,28.33219822,3.400822656,0.381466591,1,3
2,2,27.77273609,3.60139146,-0.1591186815,1,5
1,7,44.56007472,3.067589532,0.3701708722,1,3
1,7,35.38937013,3.023532332,1.409792546,1,2
1,7,32.37353641,3.071433971,0.8942816039,1,5
1,7,41.1559153,3.07105886,-1.356134239,1,4
1,7,25.9051113,3.598830211,0.8954310597,1,3
2,7,32.57909551,3.603218279,0.365426594,1,4
2,2,44.97524798,2.739894264,0.05755276843,1,4
2,7,29.07968739,2.672149969,0.6957558455,1,5
2,7,32.76235108,3.043622845,-0.5941225189,0,3
1,6,32.89198757,3.785393263,0.1058124039,1,5
2,7,28.2442791,3.3035104,-0.395630281,1,3
1,7,31.3346709,2.915845475,1.389387076,1,3
1,7,40.61385721,2.859690597,-0.6063947491,1,5
1,7,38.29267675,3.301892923,-0.7199837574,1,3
2,2,44.85152839,3.77206542,1.413371126,1,4
1,7,44.60750102,3.60017741,0.03912045066,0,4
2,8,35.55503455,2.908684761,0.3514860608,1,3
1,7,38.36798618,3.402409307,0.3977753796,1,6
2,7,32.18044258,3.600021597,0.4540907237,1,4
2,7,34.56070554,2.661464345,-0.03705618471,1,5
1,7,32.78608924,2.941568475,-0.03192626603,1,5
